ArtistId,ArtistName,ConcertDate,Venue,City,TicketQuantity,TicketPrice
1,The Electric Tigers,2024-03-05,Electric Plaza,Uptown,500,85
1,The Electric Tigers,2024-03-15,Neon Arena,Downtown,1000,90
1,The Electric Tigers,2024-04-01,Rock Dome,Metropolis,1500,95
1,The Electric Tigers,2024-04-15,Harmony Hall,Harmony,800,100
1,The Electric Tigers,2024-05-02,Sunset Pavilion,Riverside,1200,105
2,Neon Dreamers,2024-03-10,Sunset Garden,Riverside,700,90
2,Neon Dreamers,2024-03-20,Indie Hall,Uptown,900,95
2,Neon Dreamers,2024-04-05,Jazz Plaza,Downtown,1100,100
2,Neon Dreamers,2024-04-18,Lakeside Arena,Lakeside,600,105
2,Neon Dreamers,2024-05-05,Metro Hall,Metropolis,1000,110
3,The Funky Monkeys,2024-03-15,Jazz Lounge,Riverside,800,95
3,The Funky Monkeys,2024-03-30,Funky Arena,Downtown,1200,100
3,The Funky Monkeys,2024-04-10,Groove Plaza,Uptown,1000,105
3,The Funky Monkeys,2024-04-22,Central Stadium,Central,2000,110
3,The Funky Monkeys,2024-05-07,Sunset Garden,Harmony,600,115
4,Cosmic Groove,2024-03-20,Central Stadium,Central,2000,110
4,Cosmic Groove,2024-04-05,Jazz Lounge,Riverside,800,115
4,Cosmic Groove,2024-04-15,Groove Plaza,Uptown,1000,120
4,Cosmic Groove,2024-04-27,Rock Arena,Metropolis,1500,125
4,Cosmic Groove,2024-05-12,Electric Garden,West End,300,130
5,Midnight Serenade,2024-03-25,Riverfront Amphitheater,Lakeside,4000,120
5,Midnight Serenade,2024-04-10,Sunset Lounge,Harmony,800,125
5,Midnight Serenade,2024-04-20,City Stadium,Central,2000,130
5,Midnight Serenade,2024-05-05,Indie Hall,Uptown,900,135
5,Midnight Serenade,2024-05-18,Metro Plaza,Metropolis,1000,140
6,Electric Pulse,2024-03-30,Electric Arena,Uptown,900,125
6,Electric Pulse,2024-04-10,Pulse Pavilion,Harmony,800,130
6,Electric Pulse,2024-04-25,Echo Lounge,Metropolis,1000,135
6,Electric Pulse,2024-05-08,Sonic Stadium,Eastside,700,140
6,Electric Pulse,2024-05-22,Electric Plaza,Uptown,500,145
7,Echo Chamber,2024-03-04,Echo Hall,Metropolis,1500,130
7,Echo Chamber,2024-03-20,Echo Lounge,Metropolis,1000,135
7,Echo Chamber,2024-04-10,Echo Stadium,Metropolis,2000,140
7,Echo Chamber,2024-04-20,Echo Plaza,Metropolis,1200,145
7,Echo Chamber,2024-05-10,Echo Garden,Metropolis,800,150
8,Sonic Boom,2024-03-05,Sonic Stadium,Eastside,700,135
8,Sonic Boom,2024-03-15,Sonic Hall,Eastside,900,140
8,Sonic Boom,2024-04-01,Sonic Plaza,Eastside,1100,145
8,Sonic Boom,2024-04-15,Sonic Garden,Eastside,600,150
8,Sonic Boom,2024-05-02,Sonic Arena,Eastside,1000,155
9,Retro Rockets,2024-03-08,Retro Plaza,West End,1000,140
9,Retro Rockets,2024-03-20,Retro Lounge,West End,1200,145
9,Retro Rockets,2024-04-05,Retro Garden,West End,600,150
9,Retro Rockets,2024-04-15,Retro Stadium,West End,2000,155
9,Retro Rockets,2024-05-01,Retro Arena,West End,900,160
10,The Groove Masters,2024-03-02,Groove Arena,Central,2000,145
10,The Groove Masters,2024-03-15,Groove Lounge,Central,1200,150
10,The Groove Masters,2024-04-01,Groove Plaza,Central,1500,155
10,The Groove Masters,2024-04-18,Groove Garden,Central,700,160
10,The Groove Masters,2024-05-05,Groove Hall,Central,1000,165
11,The Jazz Cats,2024-03-07,Jazz Plaza,Riverside,1000,150
11,The Jazz Cats,2024-03-16,Jazz Lounge,Riverside,1200,155
11,The Jazz Cats,2024-04-01,Jazz Plaza,Riverside,900,160
11,The Jazz Cats,2024-04-18,Jazz Stadium,Riverside,800,165
11,The Jazz Cats,2024-05-01,Jazz Garden,Riverside,1100,170
12,The Midnight Owls,2024-03-07,Owl's Nest,Lakeside,800,155
12,The Midnight Owls,2024-03-16,Midnight Lounge,Lakeside,1000,160
12,The Midnight Owls,2024-04-01,Midnight Plaza,Lakeside,1200,165
13,The Blue Notes,2024-03-10,Blue Lounge,Uptown,800,160
13,The Blue Notes,2024-03-20,Blue Plaza,Uptown,1000,165
13,The Blue Notes,2024-04-05,Blue Garden,Uptown,1200,170
13,The Blue Notes,2024-04-18,Blue Stadium,Uptown,900,175
13,The Blue Notes,2024-05-01,Blue Arena,Uptown,1100,180
14,The Velvet Underground,2024-03-08,Velvet Lounge,Downtown,900,165
14,The Velvet Underground,2024-03-18,Velvet Plaza,Downtown,1100,170
14,The Velvet Underground,2024-04-02,Velvet Garden,Downtown,1300,175
14,The Velvet Underground,2024-04-15,Velvet Stadium,Downtown,1000,180
14,The Velvet Underground,2024-05-02,Velvet Arena,Downtown,1200,185
15,The Silk Tones,2024-03-05,Silk Lounge,Metropolis,1000,170
15,The Silk Tones,2024-03-15,Silk Plaza,Metropolis,1200,175
15,The Silk Tones,2024-04-01,Silk Garden,Metropolis,1400,180
15,The Silk Tones,2024-04-18,Silk Stadium,Metropolis,1100,185
15,The Silk Tones,2024-05-05,Silk Arena,Metropolis,1300,190
16,The Smooth Operators,2024-03-10,Smooth Lounge,Harmony,1100,175
16,The Smooth Operators,2024-03-20,Smooth Plaza,Harmony,1300,180
16,The Smooth Operators,2024-04-05,Smooth Garden,Harmony,1500,185
16,The Smooth Operators,2024-04-18,Smooth Stadium,Harmony,1200,190
16,The Smooth Operators,2024-05-01,Smooth Arena,Harmony,1400,195
17,The Rhythm Rebels,2024-03-15,Rebel Lounge,Lakeside,1200,180
17,The Rhythm Rebels,2024-03-30,Rebel Plaza,Lakeside,1400,185
17,The Rhythm Rebels,2024-04-10,Rebel Garden,Lakeside,1600,190
17,The Rhythm Rebels,2024-04-22,Rebel Stadium,Lakeside,1300,195
17,The Rhythm Rebels,2024-05-07,Rebel Arena,Lakeside,1500,200
18,The Soul Sisters,2024-03-20,Soul Lounge,West End,1300,185
18,The Soul Sisters,2024-04-05,Soul Plaza,West End,1500,190
18,The Soul Sisters,2024-04-15,Soul Garden,West End,1700,195
18,The Soul Sisters,2024-04-27,Soul Stadium,West End,1400,200
18,The Soul Sisters,2024-05-12,Soul Arena,West End,1600,205
19,The Funky Bunch,2024-03-25,Funky Lounge,Central,1400,190
19,The Funky Bunch,2024-04-10,Funky Plaza,Central,1600,195
19,The Funky Bunch,2024-04-20,Funky Garden,Central,1800,200
19,The Funky Bunch,2024-05-05,Funky Stadium,Central,1500,205
19,The Funky Bunch,2024-05-18,Funky Arena,Central,1700,210
20,The Groovy Gang,2024-03-30,Groovy Lounge,Riverside,1500,195
20,The Groovy Gang,2024-04-10,Groovy Plaza,Riverside,1700,200
20,The Groovy Gang,2024-04-25,Groovy Garden,Riverside,1900,205
20,The Groovy Gang,2024-05-08,Groovy Stadium,Riverside,1600,210
20,The Groovy Gang,2024-05-22,Groovy Arena,Riverside,1800,215
21,The Jazz Legends,2024-03-04,Jazz Lounge,Uptown,900,195
21,The Jazz Legends,2024-03-20,Jazz Plaza,Uptown,1100,200
21,The Jazz Legends,2024-04-10,Jazz Garden,Uptown,1300,205
21,The Jazz Legends,2024-04-20,Jazz Stadium,Uptown,1000,210
21,The Jazz Legends,2024-05-10,Jazz Arena,Uptown,1200,215
22,The Moonlight Trio,2024-03-05,Moonlight Lounge,Downtown,1000,200
22,The Moonlight Trio,2024-03-15,Moonlight Plaza,Downtown,1200,205
22,The Moonlight Trio,2024-04-01,Moonlight Garden,Downtown,1400,210
22,The Moonlight Trio,2024-04-18,Moonlight Stadium,Downtown,1100,215
22,The Moonlight Trio,2024-05-02,Moonlight Arena,Downtown,1300,220
23,The Jazz Ensemble,2024-03-10,Jazz Lounge,Metropolis,1100,205
23,The Jazz Ensemble,2024-03-20,Jazz Plaza,Metropolis,1300,210
23,The Jazz Ensemble,2024-04-05,Jazz Garden,Metropolis,1500,215
23,The Jazz Ensemble,2024-04-18,Jazz Stadium,Metropolis,1200,220
23,The Jazz Ensemble,2024-05-01,Jazz Arena,Metropolis,1400,225
24,The Harmony Quartet,2024-03-15,Harmony Lounge,Harmony,1200,210
24,The Harmony Quartet,2024-03-30,Harmony Plaza,Harmony,1400,215
24,The Harmony Quartet,2024-04-10,Harmony Garden,Harmony,1600,220
24,The Harmony Quartet,2024-04-22,Harmony Stadium,Harmony,1300,225
24,The Harmony Quartet,2024-05-07,Harmony Arena,Harmony,1500,230
25,The Jazz Cats,2024-03-20,Jazz Lounge,Lakeside,1300,215
25,The Jazz Cats,2024-04-05,Jazz Plaza,Lakeside,1500,220
25,The Jazz Cats,2024-04-15,Jazz Garden,Lakeside,1700,225
25,The Jazz Cats,2024-04-27,Jazz Stadium,Lakeside,1400,230
25,The Jazz Cats,2024-05-12,Jazz Arena,Lakeside,1600,235
26,The Swing Set,2024-03-25,Swing Lounge,West End,1400,220
26,The Swing Set,2024-04-10,Swing Plaza,West End,1600,225
26,The Swing Set,2024-04-20,Swing Garden,West End,1800,230
26,The Swing Set,2024-05-05,Swing Stadium,West End,1500,235
26,The Swing Set,2024-05-18,Swing Arena,West End,1700,240
27,The Piano Trio,2024-03-30,Piano Lounge,Central,1500,225
27,The Piano Trio,2024-04-10,Piano Plaza,Central,1700,230
27,The Piano Trio,2024-04-25,Piano Garden,Central,1900,235
27,The Piano Trio,2024-05-08,Piano Stadium,Central,1600,240
27,The Piano Trio,2024-05-22,Piano Arena,Central,1800,245
28,The Funk Masters,2024-03-04,Funk Lounge,Riverside,900,225
28,The Funk Masters,2024-03-20,Funk Plaza,Riverside,1100,230
28,The Funk Masters,2024-04-10,Funk Garden,Riverside,1300,235
28,The Funk Masters,2024-04-20,Funk Stadium,Riverside,1000,240
28,The Funk Masters,2024-05-10,Funk Arena,Riverside,1200,245
29,The Soulful Singers,2024-03-08,Soulful Lounge,Uptown,900,230
29,The Soulful Singers,2024-03-18,Soulful Plaza,Uptown,1100,235
29,The Soulful Singers,2024-04-02,Soulful Garden,Uptown,1300,240
29,The Soulful Singers,2024-04-15,Soulful Stadium,Uptown,1000,245
29,The Soulful Singers,2024-05-02,Soulful Arena,Uptown,1200,250
30,The Blues Brothers,2024-03-12,Blues Lounge,Downtown,800,230
30,The Blues Brothers,2024-03-22,Blues Plaza,Downtown,1000,235
30,The Blues Brothers,2024-04-08,Blues Garden,Downtown,1200,240
30,The Blues Brothers,2024-04-22,Blues Stadium,Downtown,900,245
30,The Blues Brothers,2024-05-05,Blues Arena,Downtown,1100,250